fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,4.01,3.64,0.37,10.1648
2022-06-30,2022-08-04,3.6,3.48,0.12,3.4483
2022-03-31,2022-05-05,3.52,3.49,0.03,0.8596
2021-12-31,2022-01-26,3.37,3.3,0.07,2.1212
2021-09-30,2021-11-02,3.56,3.08,0.48,15.5844
2021-06-30,2021-07-29,3.11,2.51,0.6,23.9044
2021-03-31,2021-04-29,2.98,2.69,0.29,10.7807
2020-12-31,2021-02-01,2.51,2.59,-0.08,-3.0888
2020-09-30,2020-10-29,2.64,2.34,0.3,12.8205
2020-06-30,2020-07-30,2.61,2.07,0.54,26.087
2020-03-31,2020-04-29,2.56,1.85,0.71,38.3784
2019-12-31,2020-01-30,1.7,1.21,0.49,40.4959
2019-09-30,2019-10-30,1.23,1.15,0.08,6.9565
2019-06-30,2019-07-31,1.26,1.07,0.19,17.757
2019-03-31,2019-04-30,1.14,0.97,0.17,17.5258
2018-12-31,2019-02-05,1.3,1.06,0.24,22.6415
2018-09-30,2018-10-24,1.09,1.02,0.07,6.8627
2018-06-30,2018-07-25,0.94,0.75,0.19,25.3333
2018-03-31,2018-04-26,0.76,0.63,0.13,20.6349
2017-12-31,2018-01-31,0.61,0.53,0.08,15.0943
2017-09-30,2017-10-25,0.53,0.31,0.22,70.9677
2017-06-30,2017-07-26,0.39,0.35,0.04,11.4286
2017-03-31,2017-04-27,0.41,0.39,0.02,5.1282
2016-12-31,2017-01-25,0.35,0.29,0.06,20.6897
2016-09-30,2016-10-25,0.16,0.18,-0.02,-11.1111
2016-06-30,2016-07-27,0.24,0.21,0.03,14.2857
2016-03-31,2016-04-27,0.09,0.29,-0.2,-68.9655
2015-12-31,2016-01-27,0.17,0.17,0,0
2015-09-30,2015-10-28,-0.13,-0.28,0.15,53.5714
2015-06-30,2015-07-29,-0.54,-0.58,0.04,6.8966
2015-03-31,2015-04-29,-0.62,-0.75,0.13,17.3333
2014-12-31,2015-01-28,-0.74,-0.65,-0.09,-13.8462
2014-09-30,2014-10-28,-0.72,-0.62,-0.1,-16.129
2014-06-30,2014-07-29,-0.68,-0.71,0.03,4.2254
2014-03-31,2014-05-01,-1,-0.68,-0.32,-47.0588
2013-12-31,2014-01-29,0.19,-0.55,0.74,134.5455
2013-09-30,2013-10-29,-0.54,-0.34,-0.2,-58.8235
2013-06-30,2013-07-29,-0.26,-0.19,-0.07,-36.8421
2013-03-31,2013-04-30,-0.11,-0.18,0.07,38.8889
2012-12-31,2013-01-29,-0.09,-0.08,-0.01,-12.5
2012-09-30,2012-11-01,-0.27,0.2,-0.47,-235
2012-06-30,2012-07-30,0.06,0.58,-0.52,-89.6552
2012-03-31,2012-04-26,0.43,0.56,-0.13,-23.2143
2011-12-31,2012-02-02,0.74,0.7,0.04,5.7143
2011-09-30,2011-10-27,1.02,0.21,0.81,385.7143
2011-06-30,2011-07-28,-0.85,-0.96,0.11,11.4583
2011-03-31,2011-05-03,-0.87,-1.09,0.22,20.1835
2010-12-31,2011-02-03,-0.9,-0.93,0.03,3.2258
2010-09-30,2010-10-25,-1.04,-0.93,-0.11,-11.828
2010-06-30,2010-07-28,-1,-0.84,-0.16,-19.0476
2010-03-31,2010-04-21,-0.83,-0.8,-0.03,-3.75
2009-12-31,2010-02-04,-0.85,-0.85,0,0
2009-09-30,2009-10-26,-0.84,-0.82,-0.02,-2.439
2009-06-30,2009-08-05,-0.99,-0.84,-0.15,-17.8571
2009-03-31,2009-04-16,-1.04,-0.82,-0.22,-26.8293
2008-12-31,2009-02-09,-0.96,-0.93,-0.03,-3.2258
2008-09-30,2008-10-27,-0.93,-0.92,-0.01,-1.087
2008-06-30,2008-07-31,-0.66,-0.57,-0.09,-15.7895
2008-03-31,2008-04-21,-0.72,-0.65,-0.07,-10.7692
2007-12-31,2008-02-11,-0.66,-0.66,0,0
2007-09-30,2007-10-29,-0.82,-0.73,-0.09,-12.3288
2007-06-30,2007-07-24,-0.91,-0.69,-0.22,-31.8841
2007-03-31,2007-04-30,-0.64,-0.64,0,0
2006-12-31,2007-02-01,-0.22,-0.38,0.16,42.1053
2006-09-30,2006-10-26,-0.46,-0.48,0.02,4.1667
2006-06-30,2006-07-26,-0.72,-0.52,-0.2,-38.4615
2006-03-31,2006-04-25,-0.47,-0.56,0.09,16.0714
2005-12-31,2006-02-07,-0.38,-0.23,-0.15,-65.2174
2005-09-30,2005-10-26,-0.84,-0.47,-0.37,-78.7234
2005-06-30,2005-07-27,-0.5,-0.51,0.01,1.9608
2005-03-31,2005-04-26,-0.56,-0.56,0,0
2004-12-31,2005-02-09,-0.54,-0.44,-0.1,-22.7273
